SMILES,IC50,,,
CC(C)(C)c1ccc(cc1)N(C(C(=O)N1CCOCC1)c1cccnc1)C(=O)c1ccco1,41,,,
CC(C)(C)c1ccc(cc1)N(C(C(=O)NCc1ccccc1)c1cccnc1)C(=O)c1ccco1,4.36,,,
CC(C)(C)c1ccc(cc1)N(C(C(=O)Nc1ccccc1)c1cccnc1)C(=O)c1ccco1,11.2,,,
CC(C)(C)c1ccc(cc1)N(C(C(=O)NCCN1CCOCC1)c1cccnc1)C(=O)c1ccco1,2.19,,,
CN(C)C(=O)CNC(=O)C(N(C(=O)c1ccco1)c1ccc(cc1)C(C)(C)C)c1cccnc1,10.9,,,
CC(C)(C)c1ccc(cc1)N(C(C(=O)N1CCC(CC1)c1cccc(F)c1)c1cccnc1)C(=O)c1cocn1,9.46,,,
CC(C)(C)c1ccc(cc1)N(C(C(=O)NCCc1c[nH]cn1)c1cccnc1)C(=O)c1cocn1,14.5,,,
CC(C)(C)c1ccc(cc1)N(C(C(=O)NCCc1nnn[nH]1)c1cccnc1)C(=O)c1cocn1,,,,
CN(CCO)c1ccc(cn1)C(N(C(=O)c1cocn1)c1ccc(cc1)C(C)(C)C)C(=O)NCCc1cccc(F)c1,,,,
CCOC(=O)CCCNC(=O)C(N(C(=O)c1cocn1)c1ccc(cc1)C(C)(C)C)c1cccnc1,6.24,,,
CC(C)(C)c1ccc(cc1)N(C(C(=O)NCCN1CCOCC1)c1cccnc1)C(=O)c1cocn1,82.5,,,
CSCCCNC(=O)C(N(C(=O)c1cocn1)c1ccc(cc1)C(C)(C)C)c1cccnc1,3.85,,,
CC(C)(C)c1ccc(cc1)N(C(C(=O)NCC(=O)OCc1ccccc1)c1cccnc1)C(=O)c1cocn1,9.92,,,
CC(C)(C)OC(=O)N1CC(C1)NC(=O)C(N(C(=O)c1cocn1)c1ccc(cc1)C(C)(C)C)c1cccnc1,6.91,,,
Cc1ccc(cc1)S(=O)(=O)CNC(=O)C(N(C(=O)c1cocn1)c1ccc(cc1)C(C)(C)C)c1cccnc1,62.9,,,
COc1ccc(NC(=O)C(N(C(=O)c2cocn2)c2ccc(cc2)C(C)(C)C)c2cccnc2)cn1,5.37,,,
COC(=O)[C@@H]1C[C@@H](CN1C(=O)OC(C)(C)C)NC(=O)C(N(C(=O)c1cocn1)c1ccc(cc1)C(C)(C)C)c1cccnc1,2.66,,,
CC(C)(C)c1ccc(cc1)N(C(C(=O)NC1CC(F)(F)C1)c1cccnc1)C(=O)c1cocn1,2.35,,,
CC(C)(C)OC(=O)CNC(=O)C(N(C(=O)c1cocn1)c1ccc(cc1)C(C)(C)C)c1cccnc1,8.18,,,
COC(=O)[C@H]1C[C@H](CN1C(=O)OC(C)(C)C)NC(=O)C(N(C(=O)c1cocn1)c1ccc(cc1)C(C)(C)C)c1cccnc1,5.32,,,
COC(=O)C1(CCCC1)NC(=O)C(N(C(=O)c1cocn1)c1ccc(cc1)C(C)(C)C)c1cccnc1,5.26,,,
CC(C)(C)c1ccc(cc1)N(C(C(=O)NC1COC1)c1cccnc1)C(=O)c1cocn1,4.07,,,
COC(=O)CNC(=O)C(N(C(=O)c1cocn1)c1ccc(cc1)C(C)(C)C)c1cccnc1,10.8,,,
CCOC(=O)CNC(=O)C(N(C(=O)c1cocn1)c1ccc(cc1)C(C)(C)C)c1cccnc1,9.53,,,
COCCNC(=O)C(N(C(=O)c1cocn1)c1ccc(cc1)C(C)(C)C)c1cccnc1,8.46,,,
