SMILES,predicted_pIC50,df
CC(C)(C)c1ccc(N(C(=O)c2cnc[nH]2)C(C(=O)NCCc2cn(-c3ccccc3)nn2)c2cccnc2)cc1,4.784529194617347,p4_picks
CC(C)(C)c1ccc(N(C(=O)c2cnc[nH]2)C(C(=O)NCCc2nc(C(F)F)no2)c2cccnc2)cc1,4.835621384196204,p4_picks
CC(C)(C)c1ccc(N(C(=O)c2cnc[nH]2)C(C(=O)NCCc2nc3ncc([N+](=O)[O-])cn3n2)c2cccnc2)cc1,4.767048631781407,p4_picks
Cn1cc(CCNC(=O)C(c2cccnc2)N(C(=O)c2cnc[nH]2)c2ccc(C(C)(C)C)cc2)cn1,5.227098060244396,p4_picks
COc1cccnc1CCNC(=O)C(c1cccnc1)N(C(=O)c1cnc[nH]1)c1ccc(C(C)(C)C)cc1,5.538583872825442,p4_picks
CC(C)(C)c1ccc(N(C(=O)c2cnc[nH]2)C(C(=O)NCCc2nc3ncccn3n2)c2cccnc2)cc1,4.82255468186607,p4_picks
CN(C)c1noc(CCNC(=O)C(c2cccnc2)N(C(=O)c2cnc[nH]2)c2ccc(C(C)(C)C)cc2)n1,4.9098881065270215,p4_picks
CC(C)(C)c1ccc(N(C(=O)c2cnc[nH]2)C(C(=O)NCCc2cnco2)c2cccnc2)cc1,5.157516352602962,p4_picks
CC(C)(C)c1ccc(N(C(=O)c2cnc[nH]2)C(C(=O)NCCc2cocn2)c2cccnc2)cc1,5.255870922733888,p4_picks
CC(C)(C)c1ccc(N(C(=O)c2cnc[nH]2)C(C(=O)NCCc2ncc(F)cn2)c2cccnc2)cc1,5.206508263968376,p4_picks
Cc1cc(CCNC(=O)C(c2cccnc2)N(C(=O)c2cnc[nH]2)c2ccc(C(C)(C)C)cc2)no1,5.438082792331997,p4_picks
Cn1c(CCNC(=O)C(c2cccnc2)N(C(=O)c2cnc[nH]2)c2ccc(C(C)(C)C)cc2)nccc1=O,5.05628284865606,p4_picks
CC(C)(C)c1ccc(N(C(=O)c2cnc[nH]2)C(C(=O)NCCc2nc(C(F)(F)F)no2)c2cccnc2)cc1,5.099182502803821,p4_picks
CC(C)(C)c1ccc(N(C(=O)c2cnc[nH]2)C(C(=O)NCCc2ccc(=O)[nH]c2)c2cccnc2)cc1,5.163907250421785,p4_picks
Cc1cn(C)nc1CCNC(=O)C(c1cccnc1)N(C(=O)c1cnc[nH]1)c1ccc(C(C)(C)C)cc1,5.201820189575388,p4_picks
CC(C)(C)c1ccc(N(C(=O)c2cnc[nH]2)C(C(=O)NCCc2ccns2)c2cccnc2)cc1,5.176868770797551,p4_picks
CC(C)(C)c1ccc(N(C(=O)c2cnc[nH]2)C(C(=O)NCCc2csc(=O)[nH]2)c2cccnc2)cc1,5.150866321098138,p4_picks
CC(C)(C)c1ccc(N(C(=O)c2cnc[nH]2)C(C(=O)NCCc2ccc(O)cc2O)c2cccnc2)cc1,4.966841752557413,p4_picks
CC(C)(C)c1ccc(N(C(=O)c2cnc[nH]2)C(C(=O)NCCc2ccns2)c2cccnc2)cc1,5.176868770797551,p4_picks
COc1cc(CCNC(=O)C(c2cccnc2)N(C(=O)c2cnc[nH]2)c2ccc(C(C)(C)C)cc2)ccn1,5.120550771739249,p4_picks
CC(C)c1noc(CCNC(=O)C(c2cccnc2)N(C(=O)c2cnc[nH]2)c2ccc(C(C)(C)C)cc2)n1,4.817501817231591,p4_picks
CC(C)(C)c1ccc(N(C(=O)c2cnc[nH]2)C(C(=O)NCCc2nncn2C2CC2)c2cccnc2)cc1,5.2096206346650344,p4_picks
Cc1nnc(CCNC(=O)C(c2cccnc2)N(C(=O)c2cnc[nH]2)c2ccc(C(C)(C)C)cc2)o1,5.1794457639372204,p4_picks
Cn1nncc1CCNC(=O)C(c1cccnc1)N(C(=O)c1cnc[nH]1)c1ccc(C(C)(C)C)cc1,5.011467714544492,p4_picks
CCc1nnc(CCNC(=O)C(c2cccnc2)N(C(=O)c2cnc[nH]2)c2ccc(C(C)(C)C)cc2)n1C,5.010680200651924,p4_picks
COc1cc(OC)c(CCNC(=O)C(c2cccnc2)N(C(=O)c2cnc[nH]2)c2ccc(C(C)(C)C)cc2)cn1,5.226426900155128,p4_picks
CC(C)(C)c1ccc(N(C(=O)c2cnc[nH]2)C(C(=O)NCCc2nccc(=O)[nH]2)c2cccnc2)cc1,5.222354053203493,p4_picks
CC(C)c1nc(CCNC(=O)C(c2cccnc2)N(C(=O)c2cnc[nH]2)c2ccc(C(C)(C)C)cc2)n[nH]1,5.083777242414217,p4_picks
Cc1nc(CCNC(=O)C(c2cccnc2)N(C(=O)c2cnc[nH]2)c2ccc(C(C)(C)C)cc2)co1,5.374007551193716,p4_picks
CC(C)(C)c1ccc(N(C(=O)c2cnc[nH]2)C(C(=O)NCCc2noc(C3CC3)n2)c2cccnc2)cc1,5.037199935329599,p4_picks
COc1ccnc(CCNC(=O)C(c2cccnc2)N(C(=O)c2cnc[nH]2)c2ccc(C(C)(C)C)cc2)n1,5.417476480407763,p4_picks
Cc1nn(C)c(C)c1CCNC(=O)C(c1cccnc1)N(C(=O)c1cnc[nH]1)c1ccc(C(C)(C)C)cc1,4.926653634221859,p4_picks
CSc1ncc(CCNC(=O)C(c2cccnc2)N(C(=O)c2cnc[nH]2)c2ccc(C(C)(C)C)cc2)cn1,4.883023167433431,p4_picks
CC(C)(C)c1ccc(N(C(=O)c2cnc[nH]2)C(C(=O)NCCc2ccno2)c2cccnc2)cc1,5.1469599760000335,p4_picks
COc1ccnc(CCNC(=O)C(c2cccnc2)N(C(=O)c2cnc[nH]2)c2ccc(C(C)(C)C)cc2)n1,5.417476480407763,p4_picks
CCc1noc(CCNC(=O)C(c2cccnc2)N(C(=O)c2cnc[nH]2)c2ccc(C(C)(C)C)cc2)n1,5.103999393850434,p4_picks
CC(C)(C)c1ccc(N(C(=O)c2cnc[nH]2)C(C(=O)NCCc2ccc(N3CCC3)nc2)c2cccnc2)cc1,4.684653217587938,p4_picks
CC(C)(C)c1ccc(N(C(=O)c2cnc[nH]2)C(C(=O)NCCc2ncc3c(n2)CCC3)c2cccnc2)cc1,5.165484382999062,p4_picks
CN(C)c1ncccc1CCNC(=O)C(c1cccnc1)N(C(=O)c1cnc[nH]1)c1ccc(C(C)(C)C)cc1,5.152614860109603,p4_picks
COCc1ccnc(CCNC(=O)C(c2cccnc2)N(C(=O)c2cnc[nH]2)c2ccc(C(C)(C)C)cc2)n1,5.2031081309462115,p4_picks
COCc1noc(CCNC(=O)C(c2cccnc2)N(C(=O)c2cnc[nH]2)c2ccc(C(C)(C)C)cc2)n1,5.0095059810375355,p4_picks
COc1cc(C)nc(CCNC(=O)C(c2cccnc2)N(C(=O)c2cnc[nH]2)c2ccc(C(C)(C)C)cc2)n1,5.259599852650418,p4_picks
Cn1cnc(CCNC(=O)C(c2cccnc2)N(C(=O)c2cnc[nH]2)c2ccc(C(C)(C)C)cc2)n1,5.0840529778093755,p4_picks
CC(C)(C)c1ccc(N(C(=O)c2cnc[nH]2)C(C(=O)NCCc2nc(C3CC3)no2)c2cccnc2)cc1,4.970492143977513,p4_picks
CC(C)(C)c1ccc(N(C(=O)c2cnc[nH]2)C(C(=O)NCCc2cn3c(n2)SCC3)c2cccnc2)cc1,4.759710916207735,p4_picks
Cc1cnc(CCNC(=O)C(c2cccnc2)N(C(=O)c2cnc[nH]2)c2ccc(C(C)(C)C)cc2)nc1C,5.230537359708965,p4_picks
Cc1cc(CCNC(=O)C(c2cccnc2)N(C(=O)c2cnc[nH]2)c2ccc(C(C)(C)C)cc2)n[nH]1,5.201962032439187,p4_picks
CC(C)(C)c1ccc(N(C(=O)c2cnc[nH]2)C(C(=O)NCCc2n[nH]c3ncccc23)c2cccnc2)cc1,5.150340264918948,p4_picks
Cc1ocnc1CCNC(=O)C(c1cccnc1)N(C(=O)c1cnc[nH]1)c1ccc(C(C)(C)C)cc1,5.135922843824229,p4_picks
CCn1ccc(CCNC(=O)C(c2cccnc2)N(C(=O)c2cnc[nH]2)c2ccc(C(C)(C)C)cc2)n1,5.234235960847478,p4_picks
CN(C)c1ccc(CCNC(=O)C(c2cccnc2)N(C(=O)c2cnc[nH]2)c2ccc(C(C)(C)C)cc2)cn1,4.676040113679527,p4_picks
CCn1cc(CCNC(=O)C(c2cccnc2)N(C(=O)c2cnc[nH]2)c2ccc(C(C)(C)C)cc2)cn1,5.435281278680571,p4_picks
Cc1ncc(CCNC(=O)C(c2cccnc2)N(C(=O)c2cnc[nH]2)c2ccc(C(C)(C)C)cc2)o1,5.147668991212395,p4_picks
CC(C)(C)c1ccc(N(C(=O)c2cnc[nH]2)C(C(=O)NCCc2ccncc2F)c2cccnc2)cc1,5.1351337165392055,p4_picks
COc1cccnc1CCNC(=O)C(c1cccnc1)N(C(=O)c1cnc[nH]1)c1ccc(C(C)(C)C)cc1,5.538583872825442,p4_picks
CC(C)(C)c1ccc(N(C(=O)c2cnc[nH]2)C(C(=O)NCCc2nc(C3CC3)n[nH]2)c2cccnc2)cc1,5.102628783408434,p4_picks
Cc1cc(CCNC(=O)C(c2cccnc2)N(C(=O)c2cnc[nH]2)c2ccc(C(C)(C)C)cc2)no1,5.438082792331997,p4_picks
CC(C)(C)c1ccc(N(C(=O)c2cnc[nH]2)C(C(=O)NCCc2ccnnc2)c2cccnc2)cc1,5.175423207117252,p4_picks
CC(C)(C)c1ccc(N(C(=O)c2cnc[nH]2)C(C(=O)NCCc2ccc(S(C)(=O)=O)cc2)c2cccnc2)cc1,4.876641626028791,p4_picks
Cc1cnc(CCNC(=O)C(c2cccnc2)N(C(=O)c2cnc[nH]2)c2ccc(C(C)(C)C)cc2)cn1,5.107732839291118,p4_picks
CC(C)(C)c1ccc(N(C(=O)c2cnc[nH]2)C(C(=O)NCCc2nncs2)c2cccnc2)cc1,5.342973171547482,p4_picks
