SMILES,predicted_pIC50,df
CC(C)(C)c1ccc(N(C(=O)c2c[nH]cn2)C(C(=O)NCCc2cn(-c3ccccc3)nn2)c2cccnc2)cc1,4.768870646965876,p4_picks
CC(C)(C)c1ccc(N(C(=O)c2c[nH]cn2)C(C(=O)NCCc2nc(C(F)F)no2)c2cccnc2)cc1,4.879135023974768,p4_picks
CC(C)(C)c1ccc(N(C(=O)c2c[nH]cn2)C(C(=O)NCCc2nc3ncc([N+](=O)[O-])cn3n2)c2cccnc2)cc1,4.8235093530274975,p4_picks
Cn1cc(CCNC(=O)C(c2cccnc2)N(C(=O)c2c[nH]cn2)c2ccc(C(C)(C)C)cc2)cn1,4.571899792754648,p4_picks
COc1cccnc1CCNC(=O)C(c1cccnc1)N(C(=O)c1c[nH]cn1)c1ccc(C(C)(C)C)cc1,4.814933549522982,p4_picks
CC(C)(C)c1ccc(N(C(=O)c2c[nH]cn2)C(C(=O)NCCc2nc3ncccn3n2)c2cccnc2)cc1,4.795465182425742,p4_picks
CN(C)c1noc(CCNC(=O)C(c2cccnc2)N(C(=O)c2c[nH]cn2)c2ccc(C(C)(C)C)cc2)n1,4.915536303647105,p4_picks
CC(C)(C)c1ccc(N(C(=O)c2c[nH]cn2)C(C(=O)NCCc2cnco2)c2cccnc2)cc1,5.049001876861333,p4_picks
CC(C)(C)c1ccc(N(C(=O)c2c[nH]cn2)C(C(=O)NCCc2cocn2)c2cccnc2)cc1,4.70348395725286,p4_picks
CC(C)(C)c1ccc(N(C(=O)c2c[nH]cn2)C(C(=O)NCCc2ncc(F)cn2)c2cccnc2)cc1,4.616987551529722,p4_picks
Cc1cc(CCNC(=O)C(c2cccnc2)N(C(=O)c2c[nH]cn2)c2ccc(C(C)(C)C)cc2)no1,4.72384558144741,p4_picks
Cn1c(CCNC(=O)C(c2cccnc2)N(C(=O)c2c[nH]cn2)c2ccc(C(C)(C)C)cc2)nccc1=O,4.691865316926864,p4_picks
CC(C)(C)c1ccc(N(C(=O)c2c[nH]cn2)C(C(=O)NCCc2nc(C(F)(F)F)no2)c2cccnc2)cc1,4.815284277587188,p4_picks
CC(C)(C)c1ccc(N(C(=O)c2c[nH]cn2)C(C(=O)NCCc2ccc(=O)[nH]c2)c2cccnc2)cc1,5.047360446013256,p4_picks
Cc1cn(C)nc1CCNC(=O)C(c1cccnc1)N(C(=O)c1c[nH]cn1)c1ccc(C(C)(C)C)cc1,4.704699065737497,p4_picks
CC(C)(C)c1ccc(N(C(=O)c2c[nH]cn2)C(C(=O)NCCc2ccns2)c2cccnc2)cc1,5.234871807541437,p4_picks
CC(C)(C)c1ccc(N(C(=O)c2c[nH]cn2)C(C(=O)NCCc2csc(=O)[nH]2)c2cccnc2)cc1,4.7125282376766,p4_picks
CC(C)(C)c1ccc(N(C(=O)c2c[nH]cn2)C(C(=O)NCCc2ccc(O)cc2O)c2cccnc2)cc1,5.070870344016985,p4_picks
CC(C)(C)c1ccc(N(C(=O)c2c[nH]cn2)C(C(=O)NCCc2ccns2)c2cccnc2)cc1,5.234871807541437,p4_picks
COc1cc(CCNC(=O)C(c2cccnc2)N(C(=O)c2c[nH]cn2)c2ccc(C(C)(C)C)cc2)ccn1,5.26784376590179,p4_picks
CC(C)c1noc(CCNC(=O)C(c2cccnc2)N(C(=O)c2c[nH]cn2)c2ccc(C(C)(C)C)cc2)n1,4.921090766968606,p4_picks
CC(C)(C)c1ccc(N(C(=O)c2c[nH]cn2)C(C(=O)NCCc2nncn2C2CC2)c2cccnc2)cc1,4.913737630143312,p4_picks
Cc1nnc(CCNC(=O)C(c2cccnc2)N(C(=O)c2c[nH]cn2)c2ccc(C(C)(C)C)cc2)o1,4.925005093244669,p4_picks
Cn1nncc1CCNC(=O)C(c1cccnc1)N(C(=O)c1c[nH]cn1)c1ccc(C(C)(C)C)cc1,4.565356230940751,p4_picks
