,SMILES
0,CC(C)(C)c1ccc(N(C(=O)c2cnc[nH]2)C(C(=O)NCCc2cn(-c3ccccc3)nn2)c2cccnc2)cc1
1,CC(C)(C)c1ccc(N(C(=O)c2cnc[nH]2)C(C(=O)NCCc2nc(C(F)F)no2)c2cccnc2)cc1
2,CC(C)(C)c1ccc(N(C(=O)c2cnc[nH]2)C(C(=O)NCCc2nc3ncc([N+](=O)[O-])cn3n2)c2cccnc2)cc1
3,Cn1cc(CCNC(=O)C(c2cccnc2)N(C(=O)c2cnc[nH]2)c2ccc(C(C)(C)C)cc2)cn1
4,COc1cccnc1CCNC(=O)C(c1cccnc1)N(C(=O)c1cnc[nH]1)c1ccc(C(C)(C)C)cc1
5,CC(C)(C)c1ccc(N(C(=O)c2cnc[nH]2)C(C(=O)NCCc2nc3ncccn3n2)c2cccnc2)cc1
6,CN(C)c1noc(CCNC(=O)C(c2cccnc2)N(C(=O)c2cnc[nH]2)c2ccc(C(C)(C)C)cc2)n1
7,CC(C)(C)c1ccc(N(C(=O)c2cnc[nH]2)C(C(=O)NCCc2cnco2)c2cccnc2)cc1
8,CC(C)(C)c1ccc(N(C(=O)c2cnc[nH]2)C(C(=O)NCCc2cocn2)c2cccnc2)cc1
9,CC(C)(C)c1ccc(N(C(=O)c2cnc[nH]2)C(C(=O)NCCc2ncc(F)cn2)c2cccnc2)cc1
10,Cc1cc(CCNC(=O)C(c2cccnc2)N(C(=O)c2cnc[nH]2)c2ccc(C(C)(C)C)cc2)no1
11,Cn1c(CCNC(=O)C(c2cccnc2)N(C(=O)c2cnc[nH]2)c2ccc(C(C)(C)C)cc2)nccc1=O
12,CC(C)(C)c1ccc(N(C(=O)c2cnc[nH]2)C(C(=O)NCCc2nc(C(F)(F)F)no2)c2cccnc2)cc1
13,CC(C)(C)c1ccc(N(C(=O)c2cnc[nH]2)C(C(=O)NCCc2ccc(=O)[nH]c2)c2cccnc2)cc1
14,Cc1cn(C)nc1CCNC(=O)C(c1cccnc1)N(C(=O)c1cnc[nH]1)c1ccc(C(C)(C)C)cc1
15,CC(C)(C)c1ccc(N(C(=O)c2cnc[nH]2)C(C(=O)NCCc2ccns2)c2cccnc2)cc1
16,CC(C)(C)c1ccc(N(C(=O)c2cnc[nH]2)C(C(=O)NCCc2csc(=O)[nH]2)c2cccnc2)cc1
17,CC(C)(C)c1ccc(N(C(=O)c2cnc[nH]2)C(C(=O)NCCc2ccc(O)cc2O)c2cccnc2)cc1
18,CC(C)(C)c1ccc(N(C(=O)c2cnc[nH]2)C(C(=O)NCCc2ccns2)c2cccnc2)cc1
19,COc1cc(CCNC(=O)C(c2cccnc2)N(C(=O)c2cnc[nH]2)c2ccc(C(C)(C)C)cc2)ccn1
20,CC(C)c1noc(CCNC(=O)C(c2cccnc2)N(C(=O)c2cnc[nH]2)c2ccc(C(C)(C)C)cc2)n1
21,CC(C)(C)c1ccc(N(C(=O)c2cnc[nH]2)C(C(=O)NCCc2nncn2C2CC2)c2cccnc2)cc1
22,Cc1nnc(CCNC(=O)C(c2cccnc2)N(C(=O)c2cnc[nH]2)c2ccc(C(C)(C)C)cc2)o1
23,Cn1nncc1CCNC(=O)C(c1cccnc1)N(C(=O)c1cnc[nH]1)c1ccc(C(C)(C)C)cc1
24,CCc1nnc(CCNC(=O)C(c2cccnc2)N(C(=O)c2cnc[nH]2)c2ccc(C(C)(C)C)cc2)n1C
25,COc1cc(OC)c(CCNC(=O)C(c2cccnc2)N(C(=O)c2cnc[nH]2)c2ccc(C(C)(C)C)cc2)cn1
