,SMILES
0,CC(C)Oc1ccc(N(C(=O)c2cnc[nH]2)C(C(=O)NCCc2cn(-c3ccccc3)nn2)c2cccnc2)cc1
1,CC(C)Oc1ccc(N(C(=O)c2cnc[nH]2)C(C(=O)NCCc2nc(C(F)F)no2)c2cccnc2)cc1
2,CC(C)Oc1ccc(N(C(=O)c2cnc[nH]2)C(C(=O)NCCc2nc3ncc([N+](=O)[O-])cn3n2)c2cccnc2)cc1
3,CC(C)Oc1ccc(N(C(=O)c2cnc[nH]2)C(C(=O)NCCc2nc(-c3ccccc3)no2)c2cccnc2)cc1
4,COc1cccc(CCNC(=O)C(c2cccnc2)N(C(=O)c2cnc[nH]2)c2ccc(OC(C)C)cc2)c1OC
5,CC(C)Oc1ccc(N(C(=O)c2cnc[nH]2)C(C(=O)NCCc2cnn(C)c2)c2cccnc2)cc1
6,COc1cccnc1CCNC(=O)C(c1cccnc1)N(C(=O)c1cnc[nH]1)c1ccc(OC(C)C)cc1
7,CC(C)Oc1ccc(N(C(=O)c2cnc[nH]2)C(C(=O)NCCc2nc(-c3ccccc3)n(C)n2)c2cccnc2)cc1
8,CC(C)Oc1ccc(N(C(=O)c2cnc[nH]2)C(C(=O)NCCc2nc3ncccn3n2)c2cccnc2)cc1
9,CC(C)Oc1ccc(N(C(=O)c2cnc[nH]2)C(C(=O)NCCc2nc(N(C)C)no2)c2cccnc2)cc1
10,CC(C)Oc1ccc(N(C(=O)c2cnc[nH]2)C(C(=O)NCCc2cc(C(F)(F)F)no2)c2cccnc2)cc1
11,CC(C)Oc1ccc(N(C(=O)c2cnc[nH]2)C(C(=O)NCCc2cnco2)c2cccnc2)cc1
12,CC(C)Oc1ccc(N(C(=O)c2cnc[nH]2)C(C(=O)NCCc2cocn2)c2cccnc2)cc1
13,CC(C)Oc1ccc(N(C(=O)c2cnc[nH]2)C(C(=O)NCCc2ncc(F)cn2)c2cccnc2)cc1
14,Cc1cc(CCNC(=O)C(c2cccnc2)N(C(=O)c2cnc[nH]2)c2ccc(OC(C)C)cc2)no1
15,CC(C)Oc1ccc(N(C(=O)c2cnc[nH]2)C(C(=O)NCCc2nccc(=O)n2C)c2cccnc2)cc1
16,CC(C)Oc1ccc(N(C(=O)c2cnc[nH]2)C(C(=O)NCCc2nc(C(F)(F)F)no2)c2cccnc2)cc1
17,COCc1ccc(CCNC(=O)C(c2cccnc2)N(C(=O)c2cnc[nH]2)c2ccc(OC(C)C)cc2)cc1
18,CC(C)Oc1ccc(N(C(=O)c2cnc[nH]2)C(C(=O)NCCc2ccc(=O)[nH]c2)c2cccnc2)cc1
19,Cc1cn(C)nc1CCNC(=O)C(c1cccnc1)N(C(=O)c1cnc[nH]1)c1ccc(OC(C)C)cc1
20,CC(C)Oc1ccc(N(C(=O)c2cnc[nH]2)C(C(=O)NCCc2ccns2)c2cccnc2)cc1
21,COc1ccc(CCNC(=O)C(c2cccnc2)N(C(=O)c2cnc[nH]2)c2ccc(OC(C)C)cc2)c(OC)c1
22,COc1ccc(CCNC(=O)C(c2cccnc2)N(C(=O)c2cnc[nH]2)c2ccc(OC(C)C)cc2)cc1
23,CC(C)Oc1ccc(N(C(=O)c2cnc[nH]2)C(C(=O)NCCc2csc(=O)[nH]2)c2cccnc2)cc1
24,CC(C)Oc1ccc(N(C(=O)c2cnc[nH]2)C(C(=O)NCCc2ccc(O)cc2O)c2cccnc2)cc1
25,CC(C)Oc1ccc(N(C(=O)c2cnc[nH]2)C(C(=O)NCCc2ccns2)c2cccnc2)cc1
26,CC(C)Oc1ccc(N(C(=O)c2cnc[nH]2)C(C(=O)NCCc2nccn2CC(F)(F)F)c2cccnc2)cc1
27,COc1cc(CCNC(=O)C(c2cccnc2)N(C(=O)c2cnc[nH]2)c2ccc(OC(C)C)cc2)ccn1
28,CC(C)Oc1ccc(N(C(=O)c2cnc[nH]2)C(C(=O)NCCc2nc(C(C)C)no2)c2cccnc2)cc1
29,CC(C)Oc1ccc(N(C(=O)c2cnc[nH]2)C(C(=O)NCCc2nncn2C2CC2)c2cccnc2)cc1
30,Cc1nc(C)c(CCNC(=O)C(c2cccnc2)N(C(=O)c2cnc[nH]2)c2ccc(OC(C)C)cc2)s1
31,Cc1nnc(CCNC(=O)C(c2cccnc2)N(C(=O)c2cnc[nH]2)c2ccc(OC(C)C)cc2)o1
32,CC(C)Oc1ccc(N(C(=O)c2cnc[nH]2)C(C(=O)NCCc2cnnn2C)c2cccnc2)cc1
33,CC(C)Oc1ccc(N(C(=O)c2cnc[nH]2)C(C(=O)NCCc2nccc(C3CC3)n2)c2cccnc2)cc1
34,CCc1nnc(CCNC(=O)C(c2cccnc2)N(C(=O)c2cnc[nH]2)c2ccc(OC(C)C)cc2)n1C
35,COc1cc(OC)c(CCNC(=O)C(c2cccnc2)N(C(=O)c2cnc[nH]2)c2ccc(OC(C)C)cc2)cn1
36,CC(C)Oc1ccc(N(C(=O)c2cnc[nH]2)C(C(=O)NCCc2nccc(=O)[nH]2)c2cccnc2)cc1
37,COc1ccc(CCNC(=O)C(c2cccnc2)N(C(=O)c2cnc[nH]2)c2ccc(OC(C)C)cc2)cc1[N+](=O)[O-]
38,CC(C)Oc1ccc(N(C(=O)c2cnc[nH]2)C(C(=O)NCCc2ccc(CN(C)C)cc2)c2cccnc2)cc1
39,CC(C)Oc1ccc(N(C(=O)c2cnc[nH]2)C(C(=O)NCCc2n[nH]c(C(C)C)n2)c2cccnc2)cc1
40,CCc1csc(CCNC(=O)C(c2cccnc2)N(C(=O)c2cnc[nH]2)c2ccc(OC(C)C)cc2)n1
41,Cc1nc(CCNC(=O)C(c2cccnc2)N(C(=O)c2cnc[nH]2)c2ccc(OC(C)C)cc2)co1
42,CC(C)Oc1ccc(N(C(=O)c2cnc[nH]2)C(C(=O)NCCc2noc(C3CC3)n2)c2cccnc2)cc1
43,CC(C)Oc1ccc(N(C(=O)c2cnc[nH]2)C(C(=O)NCCc2noc(C(C)(C)C)n2)c2cccnc2)cc1
44,COc1ccnc(CCNC(=O)C(c2cccnc2)N(C(=O)c2cnc[nH]2)c2ccc(OC(C)C)cc2)n1
